institution_id,period_id,disorder_index,field_id
7947594,2,0.8246753246753247,0
7947594,3,0.8227016885553471,0
8078737,0,0.979187314172448,0
8078737,1,0.9990467111534795,0
8078737,2,0.9443413729128015,0
8078737,3,0.949343339587242,0
8248082,0,0.2705649157581764,0
8248082,1,0.6148713060057197,0
8248082,2,0.862708719851577,0
8248082,3,0.8874296435272045,0
8606887,0,0.30426164519326065,0
8606887,1,0.7445185891325071,0
8606887,2,0.5547309833024119,0
8606887,3,0.5178236397748592,0
8692664,0,0.6878097125867195,0
8692664,1,0.6835081029551954,0
8692664,2,0.7838589981447124,0
8692664,3,0.6969981238273921,0
10052268,0,0.9435084241823588,0
10052268,1,0.9408960915157293,0
10052268,2,0.9888682745825603,0
10052268,3,0.9821763602251408,0
11874761,0,0.2616451932606541,0
11874761,1,0.32983794089609153,0
11874761,2,0.6873840445269017,0
11874761,3,0.8846153846153846,0
11883440,0,0.6531219028741329,0
11883440,1,0.5967588179218303,0
11883440,2,0.6131725417439703,0
11883440,3,0.775797373358349,0
11957088,0,0.6788899900891973,0
11957088,1,0.8331744518589133,0
11957088,2,0.8645640074211502,0
11957088,3,0.7138836772983115,0
12057038,0,0.5877106045589693,0
12057038,1,0.563393708293613,0
12057038,2,0.29591836734693877,0
12057038,3,0.10694183864915573,0
12097938,0,0.9355797819623389,0
12097938,1,0.9637750238322211,0
12097938,2,0.9907235621521335,0
12097938,3,0.9287054409005628,0
12315562,0,0.9345887016848364,0
12315562,1,0.9685414680648237,0
12315562,2,0.8673469387755102,0
12315562,3,0.8836772983114447,0
12834331,0,0.8751238850346879,0
12834331,1,0.9370829361296473,0
12834331,2,0.8200371057513914,0
12834331,3,0.8780487804878049,0
12912129,0,0.8523290386521308,0
12912129,1,0.8598665395614872,0
12912129,2,0.7764378478664193,0
12912129,3,0.6463414634146342,0
13511017,0,0.48166501486620417,0
13511017,1,0.7216396568160153,0
13511017,2,0.7884972170686456,0
13511017,3,0.848968105065666,0
14285509,0,0.5312190287413281,0
14285509,1,0.07912297426120114,0
14285509,2,0.14749536178107606,0
14285509,3,0.5103189493433395,0
16269868,0,0.25867195242814667,0
16269868,1,0.5376549094375596,0
16269868,2,0.5927643784786641,0
16269868,3,0.6641651031894934,0
16285277,0,0.4767096134786918,0
16285277,1,0.5919923736892279,0
16285277,2,0.5686456400742115,0
16285277,3,0.4981238273921201,0
16452829,0,0.9425173439048563,0
16452829,1,0.9494756911344138,0
16452829,2,0.9461966604823747,0
16452829,3,0.9183864915572233,0
16820183,0,0.666005946481665,0
16820183,1,0.5662535748331744,0
16820183,2,0.5797773654916512,0
16820183,3,0.47654784240150094,0
16944753,0,0.5550049554013875,0
16944753,1,0.546234509056244,0
16944753,2,0.6632653061224489,0
16944753,3,0.700750469043152,0
17301866,0,0.7670961347869177,0
17301866,1,0.8179218303145853,0
17301866,2,0.8367346938775511,0
17301866,3,0.8799249530956847,0
17626003,0,0.6719524281466799,0
17626003,1,0.7063870352716873,0
17626003,2,0.8747680890538033,0
17626003,3,0.8330206378986866,0
18241798,0,,0
18241798,1,0.028598665395614873,0
18241798,2,0.2949907235621521,0
18241798,3,0.18761726078799248,0
19085752,0,0.199207135777998,0
19085752,1,0.12964728312678742,0
19085752,2,0.061224489795918366,0
19085752,3,0.09568480300187618,0
19648265,0,0.8473736372646185,0
19648265,1,0.5605338417540515,0
19648265,2,0.49814471243042674,0
19648265,3,0.7420262664165104,0
19700959,0,0.8245787908820614,0
19700959,1,0.880838894184938,0
19700959,2,0.7959183673469388,0
19700959,3,0.8180112570356473,0
19772626,0,0.7433102081268583,0
19772626,1,0.7511916110581506,0
19772626,2,0.33487940630797774,0
19772626,3,0.03470919324577861,0
20089843,0,0.9177403369672944,0
20089843,1,0.90371782650143,0
20089843,2,0.8256029684601113,0
20089843,3,0.8958724202626641,0
20382870,0,0.7928642220019821,0
20382870,1,0.41182078169685415,0
20382870,2,0.7625231910946196,0
20382870,3,0.6604127579737336,0
20388574,0,0.267591674925669,0
20388574,1,0.4003813155386082,0
20388574,2,0.6289424860853432,0
20388574,3,0.41088180112570355,0
22433950,0,0.11892963330029732,0
22433950,1,0.49571020019065776,0
22433950,2,0.43042671614100186,0
22433950,3,0.24765478424015008,0
23732399,0,0.9276511397423192,0
23732399,1,0.9485224022878932,0
23732399,2,0.9072356215213359,0
23732399,3,0.8705440900562852,0
24571045,0,0.929633300297324,0
24571045,1,0.8312678741658722,0
24571045,2,0.8998144712430427,0
24571045,3,0.7054409005628518,0
24603500,0,0.846382556987116,0
24603500,1,0.8722592945662536,0
24603500,2,0.7708719851576994,0
24603500,3,0.8921200750469043,0
25041050,0,0.8206144697720515,0
25041050,1,0.5386081982840801,0
25041050,2,0.62708719851577,0
25041050,3,0.7682926829268293,0
25790992,0,0.01684836471754212,0
25790992,1,0.012869399428026692,0
25790992,2,0.1549165120593692,0
25790992,3,0.24202626641651032,0
26347476,0,0.7750247770069376,0
26347476,1,0.5929456625357483,0
26347476,2,0.6066790352504638,0
26347476,3,0.6388367729831145,0
26538001,0,0.8305252725470763,0
26538001,1,0.8388941849380362,0
26538001,2,0.922077922077922,0
26538001,3,0.8893058161350844,0
27804330,0,0.777998017839445,0
27804330,1,0.6491897044804575,0
27804330,2,0.800556586270872,0
27804330,3,0.7101313320825516,0
27825529,0,0.6283448959365708,0
27825529,1,0.663489037178265,0
27825529,2,0.6410018552875696,0
27825529,3,0.8086303939962477,0
27837315,0,0.9444995044598612,0
27837315,1,0.9780743565300286,0
27837315,2,0.8153988868274582,0
27837315,3,0.8236397748592871,0
28792581,0,0.5074331020812686,0
28792581,1,0.45090562440419446,0
28792581,2,0.40538033395176254,0
28792581,3,0.48686679174484054,0
29236304,0,0.0981169474727453,0
29236304,1,0.11630123927550047,0
29236304,2,0.14285714285714285,0
29236304,3,0.012664165103189493,0
29606459,0,0.5222993062438057,0
29606459,1,0.4699714013346044,0
29606459,2,0.5269016697588126,0
29606459,3,0.45872420262664165,0
29801172,0,0.01684836471754212,0
29801172,1,0.04194470924690181,0
29801172,2,0.07606679035250463,0
29801172,3,0.012664165103189493,0
29957033,0,0.8919722497522299,0
29957033,1,0.9551954242135366,0
29957033,2,0.8979591836734694,0
29957033,3,0.8864915572232646,0
32389192,0,0.8384539147670962,0
32389192,1,0.8608198284080076,0
32389192,2,0.764378478664193,0
32389192,3,0.8949343339587242,0
32971472,0,0.9653121902874133,0
32971472,1,0.9103908484270734,0
32971472,2,0.8812615955473099,0
32971472,3,0.8883677298311444,0
33086117,0,0.41526263627353815,0
33086117,1,0.31553860819828405,0
33086117,2,0.23840445269016697,0
33086117,3,0.2551594746716698,0
33213144,0,0.9950445986124876,0
33213144,1,0.9056244041944709,0
33213144,2,0.8506493506493507,0
33213144,3,0.9136960600375235,0
33434090,0,0.6184340931615461,0
33434090,1,0.7569113441372736,0
33434090,2,0.8580705009276438,0
33434090,3,0.7373358348968105,0
35566140,0,0.27651139742319125,0
35566140,1,0.3651096282173499,0
35566140,2,0.5528756957328386,0
35566140,3,0.899624765478424,0
35662394,0,,0
35662394,1,,0
35662394,2,0.038033395176252316,0
35662394,3,0.08348968105065666,0
35777872,0,0.6848364717542121,0
35777872,1,0.19065776930409914,0
35777872,2,0.8330241187384044,0
35777872,3,0.9737335834896811,0
36258959,0,0.8562933597621407,0
36258959,1,0.7721639656816015,0
36258959,2,0.62152133580705,0
36258959,3,0.8189493433395872,0
36373038,0,,0
36373038,1,0.223069590085796,0
36373038,2,0.35528756957328383,0
36373038,3,0.4230769230769231,0
36788626,0,0.46878097125867196,0
36788626,1,0.657769304099142,0
36788626,2,0.564935064935065,0
36788626,3,0.5947467166979362,0
36819085,0,0.23686818632309217,0
36819085,1,0.6959008579599618,0
36819085,2,0.4897959183673469,0
36819085,3,0.20356472795497185,0
38260057,0,0.7215064420218038,0
38260057,1,0.8560533841754051,0
38260057,2,0.87291280148423,0
38260057,3,0.6979362101313321,0
39422238,0,0.9613478691774033,0
39422238,1,0.9513822688274547,0
39422238,2,0.9925788497217068,0
39422238,3,0.9540337711069419,0
39565521,0,0.848364717542121,0
39565521,1,0.7025738798856054,0
39565521,2,0.7847866419294991,0
39565521,3,0.8030018761726079,0
39587148,0,0.6937561942517344,0
39587148,1,0.6701620591039085,0
39587148,2,0.6521335807050093,0
39587148,3,0.7035647279549718,0
39694355,0,0.817641228939544,0
39694355,1,0.1811248808388942,0
39694355,2,0.849721706864564,0
39694355,3,0.8602251407129456,0
39815113,0,0.3855302279484638,0
39815113,1,0.667302192564347,0
39815113,2,0.5983302411873841,0
39815113,3,0.6341463414634146,0
39965400,0,0.3389494549058474,0
39965400,1,0.45281220209723544,0
39965400,2,0.3562152133580705,0
39965400,3,0.27392120075046905,0
40253897,0,0.3409316154608523,0
40253897,1,0.0657769304099142,0
40253897,2,0.6196660482374768,0
