institution_id,institution_name,country_name,latitude,longitude,research_level
106745318,NOAA National Marine Fisheries Service (US),United States,38.99067,-77.02609,
106959904,Florida Institute of Technology (US),United States,28.08363,-80.60811,R2
106969075,Idaho State University (US),United States,42.8713,-112.44553,R2
107077323,Worcester Polytechnic Institute (US),United States,42.26259,-71.80229,R1
107341208,Louisiana State University System (US),United States,30.44332,-91.18747,
107606265,Broad Institute (US),United States,42.3751,-71.10561,
107639228,University of Notre Dame (US),United States,41.70019,-86.23793,R1
107672454,Dartmouth College (US),United States,43.70229,-72.28954,R1
107766831,NSF National Center for Atmospheric Research (US),United States,40.01499,-105.27055,
108468826,Stevens Institute of Technology (US),United States,40.74399,-74.03236,R2
108785884,Intermountain Healthcare (US),United States,40.76078,-111.89105,
110152177,University of Akron (US),United States,41.08144,-81.51901,R2
110357561,University of the Sciences (US),United States,39.95238,-75.16362,
110378019,Southern Illinois University Carbondale (US),United States,37.72727,-89.21675,R1
110383171,American Society For Engineering Education (US),United States,38.89511,-77.03637,
110995367,Sprint (United States) (US),United States,38.98223,-94.67079,
111088046,Boston University (US),United States,42.35843,-71.05977,R1
111236770,University of Vermont (US),United States,44.47588,-73.21207,R1
111455621,"Queens College, CUNY (US)",United States,40.71427,-74.00597,D/PU
111483173,King University (US),United States,36.59511,-82.18874,
111878022,Linde (United States) (US),United States,40.60079,-74.64815,
111979921,Northwestern University (US),United States,42.04114,-87.69006,R1
112197944,San Antonio College (US),United States,29.42412,-98.49363,
113508548,Albany State University (US),United States,31.57851,-84.15574,
114027177,University of North Carolina at Chapel Hill (US),United States,35.9132,-79.05584,R1
114073160,Sutter Health (US),United States,38.58157,-121.4944,
114395901,University of Nebraska–Lincoln (US),United States,40.8,-96.66696,R1
114493937,Creighton University (US),United States,41.25626,-95.94043,R2
114662689,Leidos (United States) (US),United States,38.96872,-77.3411,
114832834,Tulane University (US),United States,29.95465,-90.07507,R1
115475287,Oklahoma State University (US),United States,36.11561,-97.05837,R1
116530498,Inova Health System (US),United States,38.88233,-77.17109,
117397414,Aurora Health Care (US),United States,43.0389,-87.90647,
117965899,University of Hawaiʻi at Mānoa (US),United States,21.30694,-157.85834,R1
118118575,New Jersey Institute of Technology (US),United States,40.73566,-74.17237,R1
118136607,General Motors (United States) (US),United States,42.33143,-83.04575,
118353179,DePaul University (US),United States,41.85003,-87.65005,R2
119443389,East Tennessee State University (US),United States,36.31344,-82.35347,R2
120156002,Boise State University (US),United States,43.6135,-116.20345,R2
120506574,Allegheny College (US),United States,41.64144,-80.15145,
121820613,Louisiana State University (US),United States,30.44332,-91.18747,R1
121847817,"The Graduate Center, CUNY (US)",United States,40.71427,-74.00597,R1
121934306,Tufts University (US),United States,42.41843,-71.10616,R1
121980950,Utah State University (US),United States,41.73549,-111.83439,R1
122266389,University of Nebraska at Omaha (US),United States,41.25626,-95.94043,R2
122411786,California Institute of Technology (US),United States,34.14778,-118.14452,R1
123431417,Scripps Research Institute (US),United States,32.71571,-117.16472,
123534392,University of North Texas (US),United States,33.21484,-97.13307,R1
123946342,Binghamton University (US),United States,42.09869,-75.91797,R1
125029298,Texas A&M Health Science Center (US),United States,30.62798,-96.33441,
125687163,City College of New York (US),United States,40.71427,-74.00597,R2
126218986,Children's Hospital of Wisconsin (US),United States,43.0389,-87.90647,
126307644,University of Iowa (US),United States,41.66113,-91.53017,R1
126345244,Portland State University (US),United States,45.52345,-122.67621,R2
