institution_id,child,child_name
117965899,4210154776,University of Hawaiʻi Sea Grant (US)
118136607,168660222,General Motors (Germany) (DE)
118136607,867584213,General Motors (Canada) (CA)
118136607,2801120862,General Motors (India) (IN)
118136607,4210135317,General Motors (Poland) (PL)
121934306,4210160315,The NSF AI Institute for Artificial Intelligence and Fundamental Interactions (US)
121980950,4388482684,Utah State University Space Dynamics Laboratory
122411786,1334627681,Jet Propulsion Laboratory (US)
122411786,4210156299,Joint Center for Artificial Photosynthesis (US)
122411786,4210167273,Infrared Processing and Analysis Center (US)
126307644,4210142782,University of Iowa Health Care (US)
126307644,4390039339,University of Iowa Holden Comprehensive Cancer Center
126744593,4389425230,Institute for Bioscience and Biotechnology Research
127073530,2799782091,Riverside Methodist Hospital (US)
127073530,4210108460,Doctors Hospital (US)
127339247,26538001,San Diego State University (US)
127339247,27825529,California State University Los Angeles (US)
127339247,36053171,"California State University, Chico (US)"
127339247,43369023,"California State University, San Bernardino (US)"
127339247,43522216,"California State University, Sacramento (US)"
127339247,51504820,San Jose State University (US)
127339247,59897056,"California State University, Long Beach (US)"
127339247,67328108,"California State University, Fresno (US)"
127339247,71838634,San Francisco State University (US)
127339247,95850191,Moss Landing Marine Laboratories (US)
127339247,98947143,California State Polytechnic University (US)
127339247,118839592,"California State University, Bakersfield (US)"
127339247,135369504,"California State University, Monterey Bay (US)"
127339247,142934699,"California State University, Fullerton (US)"
127339247,149919469,California Polytechnic State University (US)
127339247,157638225,"California State University, Northridge (US)"
127339247,158011677,Sonoma State University (US)
127339247,184813773,"California State University, East Bay (US)"
127339247,192389796,Humboldt State University (US)
127339247,194388944,"California State University, Channel Islands (US)"
127339247,197875241,"California State University, Stanislaus (US)"
127339247,226560621,"California State University, San Marcos (US)"
127339247,230604491,California Maritime Academy (US)
127339247,290598920,"California State University, Dominguez Hills (US)"
127339247,4210144521,"San Diego State University, Imperial Valley Campus (US)"
129302853,183934855,Genentech
129975664,4390039242,Montefiore Einstein Comprehensive Cancer Center
130238516,4390039358,Masonic Cancer Center
130701444,2802612298,The Wallace H. Coulter Department of Biomedical Engineering (US)
130701444,4210133909,Center for Translational Research in Neuroimaging and Data Science (US)
130701444,4388482740,Georgia Tech Research Institute
130769515,4388482640,Applied Research Laboratory at Penn State
132943300,2800194297,Emory University Hospital Midtown (US)
132943300,2800556163,Emory University Hospital (US)
132943300,3008489243,Emory University Orthopaedics and Spine Hospital (US)
132943300,4210094864,Emory Eye Center (US)
132943300,4210095179,Saint Joseph's Hospital (US)
132943300,4210096060,Emory Clinic (US)
132943300,4390039307,Winship Cancer Institute
135310074,29680605,Morgridge Institute for Research (US)
135310074,4403928430,Wisconsin Geological and Natural History Survey
136199984,44142251,Wyss Institute for Biologically Inspired Engineering
136199984,2801851002,Harvard University Press (US)
136199984,2802422659,"Ragon Institute of MGH, MIT and Harvard (US)"
136199984,4210087356,Gordon Center for Medical Imaging (US)
136199984,4210124175,Center for Astrophysics Harvard & Smithsonian (US)
136199984,4210127055,Athinoula A. Martinos Center for Biomedical Imaging (US)
136199984,4210133893,Berenson Allen Center for Noninvasive Brain Stimulation (US)
136199984,4210134579,Dana-Farber/Harvard Cancer Center (US)
136199984,4210143899,Center for Vascular Biology Research (US)
136199984,4210155419,Center for Systems Biology (US)
136199984,4210157861,Harvard Stem Cell Institute (US)
136199984,4210159271,MIT-Harvard Center for Ultracold Atoms (US)
136199984,4210160315,The NSF AI Institute for Artificial Intelligence and Fundamental Interactions (US)
137902535,69048370,Renaissance Computing Institute (US)
