topic_id,feature_0,feature_1
12824,-25.296913146972656,11.509722709655762
13220,-38.970462799072266,-7.332981109619141
13849,-25.922290802001953,11.122526168823242
10012,-27.42798614501953,-4.546344757080078
10120,-57.59505844116211,12.770686149597168
10134,-35.135154724121094,47.98598098754883
10261,-53.287742614746094,20.971656799316406
10594,-23.3228702545166,0.0970137417316436
10613,-58.51708221435547,11.96638298034668
10702,-34.49642562866211,0.5415307879447937
10751,-22.943164825439453,-4.281404495239258
10756,-22.15978622436523,58.20237731933594
10769,-30.89600944519043,56.42724609375
11077,-56.00519943237305,19.96913719177246
11171,-38.03011322021485,14.546748161315918
11213,-55.50868606567383,22.370229721069336
11214,-25.276607513427734,-0.2426587492227554
11310,-39.71030807495117,39.17912673950195
11353,-31.4282169342041,3.704861879348755
11374,-33.77458953857422,42.71567916870117
11412,-40.60840606689453,49.35538101196289
11468,-36.13945770263672,-10.201264381408691
11642,-53.89140701293945,21.514799118041992
11679,-33.787513732910156,42.623565673828125
11764,-6.8934431076049805,-12.568016052246094
11772,-48.14852142333984,25.37123680114746
11928,-55.49877166748047,22.91875648498535
11968,-15.730790138244627,24.769861221313477
11974,-34.00179672241211,-0.9130023717880248
12232,-29.45207405090332,5.195253372192383
12355,-44.41841506958008,41.51860427856445
12370,-45.547462463378906,-8.945752143859863
12447,-31.50370979309082,-0.6341045498847961
12749,10.124160766601562,3.83725905418396
12919,-50.410865783691406,37.15474319458008
12924,-45.76506042480469,40.40281295776367
12929,-56.59539413452149,20.3221378326416
12989,-34.38114547729492,39.296146392822266
13199,-26.548152923583984,18.83380699157715
13354,-16.51921272277832,25.80128288269043
13664,3.128899097442627,-10.926511764526367
13984,-13.775285720825195,24.518535614013672
14333,-4.92626428604126,-1.8475685119628904
10015,-58.64353561401367,13.496320724487305
10044,-55.25644302368164,13.724658012390137
10066,-26.69392204284668,18.62691879272461
10123,-58.26520919799805,20.855894088745117
10169,-52.08005142211914,26.62584114074707
10207,-57.576412200927734,10.185661315917969
10222,-57.515193939208984,22.264646530151367
10240,-38.26683807373047,-9.064570426940918
10268,-55.64689636230469,21.24582862854004
10269,-56.917236328125,23.281408309936523
10294,-52.81661605834961,27.249406814575195
10301,-47.95578384399414,16.925180435180664
10303,-42.03756332397461,-14.95444107055664
10404,-50.98984146118164,-16.387542724609375
10407,-53.71786880493164,11.010489463806152
10422,-54.62922286987305,26.74627113342285
10432,-56.409576416015625,13.536357879638672
10441,-47.83986282348633,27.544605255126953
10493,-47.87567901611328,19.909011840820312
10497,-42.91180419921875,-13.751548767089844
10505,-55.1135139465332,21.685394287109375
10521,-57.413108825683594,13.31513786315918
10593,-32.29450607299805,11.383567810058594
10602,-55.2474250793457,31.164106369018555
10604,-57.868614196777344,22.912036895751953
10621,-59.58824920654297,16.837636947631836
10691,-45.09585952758789,29.8874454498291
10724,-42.25048828125,17.887962341308594
10725,-56.97137069702149,9.84561824798584
10773,-54.19720458984375,24.138729095458984
10836,-52.26137161254883,13.646444320678713
10878,-57.470489501953125,20.34799575805664
10885,-59.851016998291016,16.70283317565918
10887,-59.87163543701172,16.58595848083496
10911,-49.00654983520508,-43.63962173461914
10929,-55.31137466430664,24.867223739624023
10932,-51.002445220947266,-16.38934326171875
10934,-53.62038803100586,13.222861289978027
10952,-55.05403137207031,28.679054260253903
11041,-56.67369079589844,25.10433006286621
11072,-42.021697998046875,14.176814079284668
11075,-34.46110534667969,1.649404764175415
11078,-50.754032135009766,32.76839828491211
11124,-55.598182678222656,11.386066436767578
11178,-48.33855056762695,20.294042587280273
11219,-20.968158721923828,44.26432418823242
11237,-42.43769454956055,-13.746915817260742
11289,-53.835975646972656,22.6682071685791
11305,-49.92411804199219,37.345516204833984
11308,-49.95454788208008,24.343769073486328
11332,-44.04958724975586,11.946131706237791
11335,-47.12883377075195,23.125804901123047
11339,-39.046905517578125,14.347098350524902
11385,-56.47407531738281,-6.906776428222656
11480,-50.76319122314453,22.10041046142578
11482,-58.03531265258789,23.384010314941406
11501,-54.60078811645508,25.970870971679688
11515,-27.37723922729492,8.12432861328125
11533,-54.95204544067383,29.411420822143555
11559,-51.94829177856445,27.32475852966309
11561,-41.65597915649414,1.92381751537323
11663,-56.49882125854492,11.809015274047852
11677,-49.45248794555664,27.444429397583008
11710,22.62065887451172,-33.07328414916992
11736,-55.12914276123047,28.176223754882812
11765,-57.84226989746094,24.248401641845703
11786,-13.312581062316896,-23.13124656677246
11818,-47.44900131225586,19.264101028442383
11841,-53.64391326904297,23.928382873535156
11845,-49.28315353393555,-42.18659591674805
11848,-40.46377944946289,18.56454086303711
11879,-28.063907623291016,-12.519171714782717
