institution_id,period_id,disorder_index,domain_id
78715868,3,0.8534562211981567,0
79272384,0,0.930188679245283,0
79272384,1,0.8089053803339518,0
79272384,2,0.8058877644894205,0
79272384,3,0.4009216589861751,0
79463011,0,0.14528301886792452,0
79463011,1,0.362708719851577,0
79463011,2,0.6964121435142594,0
79463011,3,0.39815668202764976,0
79516672,0,0.33679245283018866,0
79516672,1,0.6660482374768089,0
79516672,2,0.8859245630174793,0
79516672,3,0.9511520737327189,0
79576946,0,0.7226415094339622,0
79576946,1,0.6799628942486086,0
79576946,2,0.5694572217111316,0
79576946,3,0.6175115207373272,0
79620101,0,0.8264150943396227,0
79620101,1,0.800556586270872,0
79620101,2,0.7902483900643974,0
79620101,3,0.8497695852534562,0
80605987,0,0.4037735849056604,0
80605987,1,0.6558441558441559,0
80605987,2,0.7930082796688133,0
80605987,3,0.8635944700460829,0
81020160,0,0.39528301886792455,0
81020160,1,0.313543599257885,0
81020160,2,0.5363385464581417,0
81020160,3,0.5410138248847927,0
81365321,0,0.9481132075471698,0
81365321,1,0.9489795918367347,0
81365321,2,0.8813247470101196,0
81365321,3,0.7649769585253456,0
82495205,0,0.6386792452830189,0
82495205,1,0.8024118738404453,0
82495205,2,0.8040478380864765,0
82495205,3,0.9493087557603687,0
82497590,0,0.85,0
82497590,1,0.8794063079777366,0
82497590,2,0.9714811407543699,0
82497590,3,0.9778801843317972,0
82783531,0,0.6037735849056604,0
82783531,1,0.5185528756957328,0
82783531,2,0.5455381784728611,0
82783531,3,0.687557603686636,0
83328450,0,0.7169811320754716,0
83328450,1,0.5705009276437848,0
83328450,2,0.6025758969641214,0
83328450,3,0.7907834101382488,0
83399316,0,0.5745283018867925,0
83399316,1,0.40816326530612246,0
83399316,2,0.2750689972401104,0
83399316,3,0.3244239631336406,0
83809506,0,0.7971698113207547,0
83809506,1,0.6975881261595547,0
83809506,2,0.5390984360625575,0
83809506,3,0.7953917050691244,0
83909951,0,0.3858490566037736,0
83909951,1,0.2782931354359926,0
83909951,2,0.9080036798528058,0
83909951,3,0.8986175115207373,0
83925599,0,0.6858490566037736,0
83925599,1,0.5732838589981447,0
83925599,2,0.003219871205151794,0
83925599,3,,0
84218800,0,0.8849056603773585,0
84218800,1,0.9230055658627088,0
84218800,2,0.906163753449862,0
84218800,3,0.9658986175115207,0
84392919,0,0.8075471698113208,0
84392919,1,0.7894248608534323,0
84392919,2,0.7580496780128795,0
84392919,3,0.7345622119815668,0
84470341,0,0.7518867924528302,0
84470341,1,0.5556586270871985,0
84470341,2,0.39466421343146274,0
84470341,3,0.4248847926267281,0
84475105,0,0.04622641509433962,0
84475105,1,0.10111317254174397,0
84475105,2,0.3109475620975161,0
84475105,3,0.29400921658986173,0
85384741,0,0.8141509433962264,0
85384741,1,0.8840445269016698,0
85384741,2,0.9567617295308187,0
85384741,3,0.4599078341013825,0
86501945,0,0.9273584905660377,0
86501945,1,0.7959183673469388,0
86501945,2,0.7102115915363385,0
86501945,3,0.7364055299539171,0
86519309,0,0.9264150943396227,0
86519309,1,0.8710575139146568,0
86519309,2,0.7773689052437902,0
86519309,3,0.6645161290322581,0
86755215,0,0.3179245283018868,0
86755215,1,0.5936920222634509,0
86755215,2,0.7010119595216191,0
86755215,3,0.744700460829493,0
87208437,0,0.8235849056603773,0
87208437,1,0.8487940630797773,0
87208437,2,0.9650413983440662,0
87208437,3,0.928110599078341,0
87216513,0,0.8830188679245283,0
87216513,1,0.9202226345083488,0
87216513,2,0.9162833486660533,0
87216513,3,0.936405529953917,0
87303767,0,0.09905660377358491,0
87303767,1,0.23562152133580705,0
87303767,2,0.24287028518859247,0
87303767,3,0.22580645161290322,0
87424562,0,0.41226415094339625,0
87424562,1,0.4072356215213358,0
87424562,2,0.9070837166513339,0
87424562,3,0.5566820276497696,0
88694374,0,0.8084905660377358,0
88694374,1,0.9471243042671614,0
88694374,2,0.9438822447102115,0
88694374,3,0.8903225806451613,0
90871651,0,0.7292452830188679,0
90871651,1,0.9684601113172542,0
90871651,2,0.891444342226311,0
90871651,3,0.8894009216589862,0
91045830,0,0.9358490566037736,0
91045830,1,0.9434137291280148,0
91045830,2,0.9696412143514259,0
91045830,3,0.9668202764976959,0
91221267,0,0.3650943396226415,0
91221267,1,0.7755102040816326,0
91221267,2,0.5326586936522539,0
91221267,3,0.815668202764977,0
92156820,0,0.7547169811320755,0
92156820,1,0.7634508348794063,0
92156820,2,0.6908923643054278,0
92156820,3,0.688479262672811,0
92446798,0,0.9415094339622642,0
92446798,1,0.9267161410018553,0
92446798,2,0.954001839926403,0
92446798,3,0.9078341013824884,0
92664306,0,0.680188679245283,0
92664306,1,0.5139146567717996,0
92664306,2,0.27230910763569455,0
92664306,3,0.21935483870967742,0
93393672,0,0.8896226415094339,0
93393672,1,0.7625231910946196,0
93393672,2,0.8426862925482981,0
93393672,3,0.8599078341013825,0
94062374,0,0.6669811320754717,0
94062374,1,0.6530612244897959,0
94062374,2,0.7911683532658693,0
94062374,3,0.8064516129032258,0
94328231,0,0.5150943396226415,0
94328231,1,0.437847866419295,0
94328231,2,0.6126954921803128,0
94328231,3,0.4645161290322581,0
94339441,0,0.2650943396226415,0
94339441,1,0.5269016697588126,0
94339441,2,0.38638454461821525,0
94339441,3,0.5244239631336406,0
94396219,0,0.35188679245283017,0
94396219,1,0.18274582560296845,0
94396219,2,0.6292548298068077,0
94396219,3,0.22672811059907835,0
94658018,0,0.45,0
94658018,1,0.3654916512059369,0
94658018,2,0.1609935602575897,0
94658018,3,0.3631336405529954,0
95240055,0,0.219811320754717,0
95240055,1,0.6029684601113172,0
95240055,2,0.6191352345906164,0
95240055,3,0.6589861751152074,0
95457486,0,0.8915094339622641,0
95457486,1,0.862708719851577,0
95457486,2,0.7690892364305428,0
95457486,3,0.7400921658986175,0
96749437,0,0.2490566037735849,0
96749437,1,0.26437847866419295,0
96749437,2,0.6853725850965962,0
96749437,3,0.8092165898617512,0
97018004,0,0.7735849056603774,0
97018004,1,0.634508348794063,0
97018004,2,0.5105795768169273,0
