year,institution_id,n_works,n_authors,domain_id
2014,893718555,22,47,0
2014,896114043,18,26,0
2014,901861585,636,1384,0
2014,919571938,687,1173,0
2014,921990950,1323,2288,0
2014,922845939,206,491,0
2014,923382979,21,26,0
2014,926076166,285,526,0
2014,1280259254,95,144,0
2014,1280414376,100,131,0
2014,1280536761,52,81,0
2014,1280640908,54,52,0
2014,1281378812,45,60,0
2014,1281539108,64,114,0
2014,1281704429,40,64,0
2014,1282105669,311,401,0
2014,1282311441,94,168,0
2014,1282516798,31,73,0
2014,1282927834,625,1038,0
2014,1283055418,197,332,0
2014,1283103587,11,14,0
2014,1283280774,2040,3837,0
2014,1283621791,85,151,0
2014,1283654650,18,25,0
2014,1285204247,842,1350,0
2014,1285210727,95,175,0
2014,1285301757,376,565,0
2014,1285739803,36,71,0
2014,1285764155,442,1525,0
2014,1286329397,559,729,0
2014,1286490081,107,267,0
2014,1286959531,105,156,0
2014,1287163989,253,432,0
2014,1287521167,18,58,0
2014,1287643137,54,124,0
2014,1288162130,26,33,0
2014,1288198617,62,84,0
2014,1288214837,112,168,0
2014,1288882113,1659,3215,0
2014,1289243028,298,375,0
2014,1289422878,124,223,0
2014,1289437631,282,482,0
2014,1289490764,1319,3033,0
2014,1289568071,78,137,0
2014,1289702989,3108,4789,0
2014,1289739345,41,76,0
2014,1290055561,10,12,0
2014,1290206253,106,113,0
2014,1290463931,49,61,0
2014,1290900354,267,457,0
2014,1291425158,250,682,0
2014,1292894508,381,728,0
2014,1292974536,14,20,0
2014,1293487830,50,114,0
2014,1293502524,28,44,0
2014,1294278766,154,239,0
2014,1294504835,21,18,0
2014,1295339012,3,5,0
2014,1295346377,100,214,0
2014,1295499534,221,317,0
2014,1295876152,286,633,0
2014,1295908608,63,89,0
2014,1296604144,147,338,0
2014,1297127228,4,12,0
2014,1297288678,64,114,0
2014,1297463080,74,165,0
2014,1297540436,157,347,0
2014,1298060332,152,263,0
2014,1298154867,157,250,0
2014,1298353152,120,198,0
2014,1299022934,5560,11876,0
2014,1299218025,58,87,0
2014,1299303238,6159,11658,0
2014,1299501804,90,119,0
2014,1299725459,42,108,0
2014,1299907687,13,24,0
2014,1301076528,406,898,0
2014,1302163369,66,102,0
2014,1302368450,200,397,0
2014,1302444339,317,558,0
2014,1302918504,92,109,0
2014,1302991022,17,35,0
2014,1303243448,57,110,0
2014,1304082316,177,355,0
2014,1304196042,93,233,0
2014,1304256225,2900,4881,0
2014,1304269903,96,237,0
2014,1304808963,70,80,0
2014,1305001552,14,40,0
2014,1306266525,130,143,0
2014,1306490931,68,82,0
2014,1306686416,12,13,0
2014,1306862143,19,32,0
2014,1307098950,249,383,0
2014,1307117695,97,240,0
2014,1308126019,263,394,0
2014,1309104334,221,411,0
2014,1309191912,274,635,0
2014,1309849503,31,47,0
2014,1310145890,6,7,0
2014,1310421338,63,114,0
2014,1311060795,158,152,0
2014,1311688040,44,79,0
2014,1311914864,66,140,0
2014,1312106833,103,161,0
2014,1312222531,2006,2437,0
2014,1312537475,133,210,0
2014,1313298211,521,931,0
2014,1313416372,482,546,0
2014,1313867356,22,32,0
2014,1314135232,371,614,0
2014,1314596251,259,517,0
2014,1314696892,7,12,0
2014,1315496137,43,142,0
2014,1315708478,174,281,0
2014,1315792047,53,84,0
2014,1316535847,936,1692,0
2014,1316902750,1209,2264,0
2014,1316910977,142,262,0
2014,1317227900,2612,4342,0
2014,1317239608,6,9,0
2014,1318687432,28,40,0
2014,1319063186,6,5,0
2014,1320320070,700,1406,0
2014,1320343167,70,128,0
2014,1320354487,67,129,0
2014,1320553840,389,1243,0
2014,1320796813,1510,2724,0
2014,1321296531,286,472,0
2014,1321305853,14,12,0
2014,1321404777,123,285,0
2014,1321572752,58,98,0
2014,1321686444,34,77,0
2014,1322918889,448,665,0
2014,1323778983,37,89,0
2014,1324220072,73,122,0
2014,1324520350,76,100,0
2014,1324766304,99,163,0
2014,1324840837,11,25,0
2014,1325481341,143,224,0
2014,1325736334,299,509,0
2014,1326872476,30,75,0
2014,1326929380,26,57,0
2014,1327069482,222,312,0
2014,1327163397,2769,4425,0
2014,1327576362,175,290,0
2014,1328359107,159,262,0
2014,1328499231,76,180,0
2014,1328594524,109,185,0
2014,1328969757,17,24,0
2014,1329528197,20,43,0
2014,1330063522,536,1370,0
2014,1330342723,2291,4594,0
2014,1330347796,112,226,0
2014,1330989302,242,464,0
2014,1331384533,725,1117,0
2014,1332460256,101,110,0
2014,1332737386,46,77,0
2014,1333535994,79,180,0
2014,1333606569,103,236,0
2014,1334016132,51,84,0
2014,1334069289,118,207,0
2014,1334095494,27,65,0
2014,1334329717,46,64,0
2014,1334627681,63,102,0
2014,1334819555,1433,2762,0
2014,1335289525,198,400,0
2014,1335321130,718,1233,0
2014,1335486098,12,22,0
2014,1335927249,717,1002,0
2014,1336053918,32,65,0
2014,1336096307,3093,3795,0
2014,1336742384,299,511,0
2014,1336910626,212,336,0
2014,1338124936,377,476,0
2014,1338449461,25,49,0
2014,1338503839,23,54,0
2014,1339417872,111,204,0
2014,1339509835,138,402,0
2014,1340179700,243,527,0
2014,1341412227,91,116,0
2014,1341618623,234,291,0
2014,1342924430,23,47,0
2014,1343028186,140,192,0
2014,1343035065,346,535,0
2014,1343052199,302,587,0
2014,1343180700,42,59,0
2014,1343551460,2249,4347,0
2014,1343871089,378,415,0
2014,1344073410,2197,2831,0
2014,2750212522,217,458,0
2014,2799343972,270,476,0
2014,2799356940,95,79,0
2014,2799359367,1,47,0
2014,2799360765,75,178,0
2014,2799370151,74,170,0
2014,2799424032,54,112,0
2014,2799495847,1242,1875,0
2014,2799503643,584,1315,0
2014,2799567181,9,12,0
2014,2799617873,2,1,0
2014,2799628689,232,337,0
2014,2799691083,1050,1724,0
2014,2799765794,124,341,0
2014,2799767083,26,59,0
2014,2799786008,6,12,0
2014,2799798094,279,613,0
2014,2799810409,104,196,0
2014,2799849604,6,6,0
2014,2799853436,1948,3705,0
2014,2799885155,62,171,0
2014,2799886695,367,580,0
2014,2799903593,257,541,0
2014,2799905417,106,242,0
2014,2799932517,43,78,0
2014,2799950915,52,83,0
2014,2800102766,11,21,0
2014,2800154431,117,210,0
2014,2800204061,11,30,0
2014,2800216316,548,821,0
2014,2800250139,305,603,0
2014,2800275141,42,58,0
2014,2800326109,113,207,0
2014,2800363604,136,242,0
2014,2800364127,22,47,0
2014,2800403580,2766,4216,0
2014,2800421839,1786,2775,0
2014,2800446032,162,330,0
2014,2800453862,223,267,0
2014,2800496781,30,64,0
2014,2800507078,1594,2710,0
2014,2800548410,120,204,0
2014,2800560132,60,106,0
2014,2800590384,220,317,0
2014,2800628709,24,35,0
2014,2800649613,34,59,0
2014,2800667924,32,66,0
2014,2800704349,21,39,0
2014,2800717037,106,203,0
2014,2800817003,92,183,0
2014,2800842121,66,116,0
2014,2800861319,23,55,0
2014,2800935791,150,257,0
2014,2800957949,1,1,0
2014,2801004183,52,91,0
2014,2801024494,23,34,0
2014,2801047068,29,54,0
2014,2801052491,14,36,0
2014,2801107848,163,401,0
2014,2801148111,156,268,0
2014,2801159745,183,336,0
2014,2801213986,389,577,0
2014,2801247003,38,39,0
2014,2801273398,201,296,0
2014,2801313472,20,46,0
2014,2801333002,1341,2033,0
2014,2801337628,20,47,0
2014,2801365484,1906,3090,0
2014,2801403999,98,206,0
2014,2801410363,30,55,0
2014,2801463575,8,20,0
2014,2801502357,303,554,0
2014,2801525821,465,704,0
2014,2801539370,1685,3281,0
2014,2801558778,5,9,0
2014,2801572250,153,226,0
2014,2801613365,122,209,0
2014,2801621085,2,6,0
2014,2801649442,5270,8146,0
2014,2801671727,147,216,0
2014,2801818860,11,21,0
2014,2801851002,373,803,0
2014,2801852214,130,193,0
2014,2801919071,3028,4696,0
2014,2801935854,125,224,0
2014,2801983979,79,116,0
2014,2802090120,403,561,0
2014,2802090665,198,289,0
2014,2802096936,4424,7731,0
2014,2802101240,54,112,0
