year,institution_id,n_works,n_authors
2014,75421653,840,1139
2014,75420490,569,899
2014,4210096018,83,374
2014,1299501804,343,380
2014,92664306,293,548
2014,1327576362,300,401
2014,1299725459,210,344
2014,92156820,772,1312
2014,4210095851,916,1096
2014,4210142217,57,106
2014,4210087865,244,555
2014,16820183,300,542
2014,4210147155,443,1112
2014,1326929380,140,280
2014,1327069482,301,381
2014,4210094549,280,311
2014,78715868,1174,1359
2014,1322918889,1238,1935
2014,1306490931,299,345
2014,1306266525,1846,2226
2014,77920804,416,666
2014,1306862143,123,212
2014,1321686444,117,236
2014,88694374,250,333
2014,4210143392,870,1516
2014,4210146328,106,135
2014,4210146389,29,34
2014,1306686416,177,242
2014,4210143381,467,583
2014,1326872476,178,294
2014,1301076528,792,1403
2014,58956616,3391,4347
2014,859038795,3646,4055
2014,4210105015,117,234
2014,4210153153,48,74
2014,54713919,421,629
2014,125029298,393,635
2014,4210104968,40,47
2014,285663978,480,911
2014,20382870,799,747
2014,4210151747,567,949
2014,4210086682,233,278
2014,4210135078,117,172
2014,1743320,371,582
2014,59553526,2524,3077
2014,872248612,642,756
2014,55302922,1044,1581
2014,4210104735,1259,1589
2014,126218986,179,305
2014,267592682,446,592
2014,126307644,3866,4889
2014,126345244,820,816
2014,4210132596,144,282
2014,4210105273,3,4
2014,116530498,157,228
2014,123946342,678,778
2014,3132585960,10153,10560
2014,4210104856,96,127
2014,4210153043,1036,2029
2014,123534392,1641,1626
2014,123431417,1165,1691
2014,4210133143,252,434
2014,4210102705,62,102
2014,870398029,66,111
2014,4210135252,442,693
2014,14285509,299,579
2014,2799370151,353,579
2014,59897056,360,459
2014,119443389,411,586
2014,4210086173,2,2
2014,4210134091,475,520
2014,120156002,427,457
2014,57053284,57,70
2014,57328836,926,1099
2014,57206974,5424,6323
2014,2799567181,276,278
2014,880747138,133,168
2014,4210086971,238,287
2014,20388574,645,873
2014,117965899,1906,2137
2014,118136607,387,395
2014,2799424032,71,122
2014,118118575,569,526
2014,117397414,150,258
2014,2799356940,893,594
2014,59499333,303,462
2014,867280407,3065,4669
2014,115475287,1211,1379
2014,60205797,65,413
2014,2799359367,10,55
