institution_id,period_id,disorder_index
27837315,1,0.9733210671573136
27837315,2,0.9761029411764706
27837315,3,0.9834558823529412
28792581,0,0.6635859519408502
28792581,1,0.6025758969641214
28792581,2,0.5358455882352942
28792581,3,0.5625
29236304,0,0.2615526802218114
29236304,1,0.6283348666053358
29236304,2,0.166360294117647
29236304,3,0.2867647058823529
29606459,0,0.5609981515711645
29606459,1,0.5216191352345906
29606459,2,0.4301470588235294
29606459,3,0.5082720588235294
29801172,0,0.055452865064695
29801172,1,0.0165593376264949
29801172,2,0.0045955882352941
29801172,3,0.0045955882352941
29957033,0,0.7874306839186691
29957033,1,0.8012879484820608
29957033,2,0.7077205882352942
29957033,3,0.7113970588235294
32389192,0,0.7402957486136784
32389192,1,0.6982520699172033
32389192,2,0.6590073529411765
32389192,3,0.6792279411764706
32971472,0,0.9020332717190388
32971472,1,0.8960441582336707
32971472,2,0.8777573529411765
32971472,3,0.8676470588235294
33086117,0,0.0988909426987061
33086117,1,0.0358785648574057
33086117,2,0.0496323529411764
33086117,3,0.0643382352941176
33213144,0,0.9916820702402958
33213144,1,0.968721251149954
33213144,2,0.9503676470588236
33213144,3,0.9439338235294118
33434090,0,0.7097966728280961
33434090,1,0.7598896044158233
33434090,2,0.7545955882352942
33434090,3,0.7444852941176471
35566140,0,0.2532347504621072
35566140,1,0.3909843606255749
35566140,2,0.5514705882352942
35566140,3,0.5808823529411765
35662394,0,0.043438077634011
35662394,1,0.0800367985280588
35662394,2,0.1139705882352941
35662394,3,0.166360294117647
35777872,0,0.7356746765249538
35777872,1,0.8758049678012879
35777872,2,0.9623161764705882
35777872,3,0.9742647058823528
36258959,0,0.844731977818854
36258959,1,0.795768169273229
36258959,2,0.7720588235294118
36258959,3,0.7601102941176471
36373038,0,0.077634011090573
36373038,1,0.2281508739650414
36373038,2,0.1902573529411764
36373038,3,0.2959558823529412
36788626,0,0.6118299445471349
36788626,1,0.6614535418583257
36788626,2,0.6323529411764706
36788626,3,0.6378676470588235
36819085,0,0.355822550831793
36819085,1,0.6154553817847286
36819085,2,0.7417279411764706
36819085,3,0.6222426470588235
38260057,0,0.7024029574861368
38260057,1,0.8656853725850966
38260057,2,0.6654411764705882
38260057,3,0.5514705882352942
39422238,0,0.9500924214417744
39422238,1,0.940202391904324
39422238,2,0.9338235294117648
39422238,3,0.9420955882352942
39565521,0,0.5101663585951941
39565521,1,0.3606255749770009
39565521,2,0.2876838235294117
39565521,3,0.2619485294117647
39587148,0,0.8123844731977818
39587148,1,0.8518859245630175
39587148,2,0.8501838235294118
39587148,3,0.8667279411764706
39694355,0,0.7569316081330869
39694355,1,0.827966881324747
39694355,2,0.7959558823529411
39694355,3,0.7408088235294118
39815113,0,0.6848428835489834
39815113,1,0.6908923643054278
39815113,2,0.7803308823529411
39815113,3,0.8538602941176471
39965400,0,0.3401109057301293
39965400,1,0.7157313707451702
39965400,2,0.6259191176470589
39965400,3,0.5946691176470589
40253897,0,0.5970425138632163
40253897,1,0.671573137074517
40253897,2,0.8851102941176471
40253897,3,0.8648897058823529
40347166,0,0.923290203327172
40347166,1,0.8932842686292548
40347166,2,0.8630514705882353
40347166,3,0.8170955882352942
43522216,0,0.6903881700554528
43522216,1,0.7148114075436982
43522216,2,0.6893382352941176
43522216,3,0.6856617647058824
43579087,0,0.8512014787430684
43579087,1,0.8500459981600736
43579087,2,0.8860294117647058
43579087,3,0.8612132352941176
44265643,0,0.732902033271719
44265643,1,0.7911683532658693
44265643,2,0.9071691176470588
44265643,3,0.9384191176470588
44461941,0,0.9297597042513864
44461941,1,0.9567617295308188
44461941,2,0.9246323529411764
44461941,3,0.9365808823529412
44854399,0,0.7754158964879853
44854399,1,0.8942042318307267
44854399,2,0.8014705882352942
44854399,3,0.8014705882352942
45438204,0,0.800369685767098
45438204,1,0.8482060717571297
45438204,2,0.8805147058823529
45438204,3,0.9512867647058824
47251452,0,0.7791127541589649
47251452,1,0.7856485740570377
47251452,2,0.7555147058823529
47251452,3,0.7242647058823529
47301684,0,0.7495378927911276
47301684,1,0.766329346826127
47301684,2,0.7242647058823529
47301684,3,0.7215073529411765
47838141,0,0.8031423290203327
47838141,1,0.8077276908923643
47838141,2,0.8051470588235294
47838141,3,0.8262867647058824
48633490,0,0.566543438077634
48633490,1,0.5657773689052438
48633490,2,0.5487132352941176
48633490,3,0.5330882352941176
49332381,0,0.5979667282809612
