similarity_score,institution_id_scaled2,institution_id_scaled2_neighbor
0.9908950924873352,4,716
0.9904909133911133,4,172
0.9999171495437622,5,44
0.9987739324569702,5,99
0.997903048992157,5,380
0.9976003170013428,5,52
0.9973094463348389,5,296
0.9971403479576111,5,36
0.9968224167823792,5,70
0.9967311024665833,5,169
0.9966093301773071,5,425
0.9957316517829895,5,19
0.9952581524848938,5,257
0.9937936067581177,5,16
0.9934993982315063,5,387
0.9933894276618958,5,288
0.9931831359863281,5,304
0.9930393695831299,5,375
0.9930241703987122,5,273
0.9927688241004944,5,393
0.9926977753639221,5,286
0.9926419854164124,5,339
0.9923545122146606,6,1036
0.9893223643302917,6,984
0.9883533120155334,6,474
0.9864119291305542,6,1015
0.9849017858505249,6,460
0.984112024307251,6,939
0.9837653636932373,6,848
0.9830838441848755,6,740
0.9830161929130554,6,14
0.978856086730957,6,865
0.9780341982841492,6,832
0.9753639101982117,6,830
0.9741632342338562,6,969
0.9733768701553345,6,946
0.9733582735061646,6,1004
0.9719783067703247,6,585
0.9719546437263489,6,601
0.9716587066650391,6,833
0.9707733988761902,6,700
0.9705814719200134,6,396
0.9983697533607483,7,404
0.9976696372032166,7,89
0.997517466545105,7,720
0.9972029328346252,7,867
0.9971031546592712,7,341
0.9955185651779175,7,76
0.9939982295036316,7,185
0.9938392639160156,7,57
0.9937665462493896,7,130
0.9926436543464661,7,95
0.9923359155654907,7,149
0.9920839071273804,7,136
0.9909119606018066,7,247
0.9899531006813049,7,392
0.9858081936836243,7,289
0.9856864809989929,7,300
0.9856644868850708,7,431
0.9856374263763428,7,446
0.9839835166931152,7,92
0.9832343459129333,7,657
0.9997953772544861,8,428
0.9994520545005798,8,796
0.9992914199829102,8,58
0.9988517165184021,8,658
0.9981093406677246,8,30
0.9978657960891724,8,311
0.997843861579895,8,12
0.9969509243965149,8,272
0.9962728023529053,8,378
0.9938612580299377,8,302
0.9927637577056885,8,359
0.9922048449516296,8,119
0.9920145869255066,8,224
0.9906448125839233,8,992
0.9904266595840454,8,457
0.9897924661636353,8,128
0.989449143409729,8,402
0.9894018173217773,8,152
0.9893172383308411,8,420
0.9883025884628296,8,1071
0.9923815727233887,9,367
0.987265944480896,9,301
0.9764428734779358,9,573
0.9753673076629639,9,416
0.9712832570075989,9,1058
0.9679467082023621,9,176
0.9665820002555847,9,925
0.9653677940368652,9,439
0.9644833207130432,9,839
0.9641823172569275,9,121
0.9624015688896179,9,46
0.9623389840126038,9,238
0.9612059593200684,9,612
0.958684504032135,9,239
0.9556218981742859,9,870
0.9553056955337524,9,801
0.9526743292808533,9,232
0.9516630172729492,9,442
0.9479036927223206,9,702
0.9478664994239807,9,688
0.9999678730964661,10,256
0.9998799562454224,10,362
0.9998038411140442,10,962
0.9991392493247986,10,415
0.9991138577461243,10,453
0.9988906383514404,10,25
0.9988043904304504,10,35
0.9986014366149902,10,1
0.9981972575187683,10,400
0.9980501532554626,10,903
0.9976392388343811,10,213
0.9976104497909546,10,279
0.9974142909049988,10,333
0.9952919483184814,10,26
0.9952023029327393,10,342
0.9939880967140198,10,22
0.993533194065094,10,277
0.9934655427932739,10,381
0.9930089712142944,10,87
0.9923883080482483,10,105
0.9997293949127197,11,653
0.9987959265708923,11,433
0.9984222054481506,11,298
0.9983562231063843,11,750
0.9975884556770325,11,79
0.9974938035011292,11,181
0.9970896244049072,11,132
0.9968206882476807,11,313
0.9960901737213135,11,441
0.994962215423584,11,112
0.994848906993866,11,283
0.994744062423706,11,761
0.9942536354064941,11,440
0.9921092987060547,11,210
0.9919891953468323,11,100
0.9897890686988831,11,178
0.9894001483917236,11,992
0.9890923500061035,11,714
0.9886915683746338,11,447
0.986249566078186,11,224
0.9999509453773499,12,272
0.9994977116584778,12,58
0.997843861579895,12,8
0.9977390170097351,12,428
0.9975005388259888,12,274
0.9970760941505432,12,119
0.9968122839927673,12,224
0.9954610466957092,12,458
0.9952547550201416,12,1071
0.9951346516609192,12,311
0.9944734573364258,12,796
0.9943280220031738,12,992
0.9932118654251099,12,457
0.9926521182060242,12,113
0.9921802878379822,12,621
0.9920822381973267,12,658
0.9920331835746765,12,100
0.9895371198654175,12,66
0.9875483512878418,12,394
0.9862174391746521,12,79
0.9999763369560242,13,318
0.9996194839477539,13,718
0.9994503855705261,13,195
0.99941486120224,13,1005
0.999342143535614,13,691
0.9992102384567261,13,1082
0.9991578459739685,13,952
0.9991324543952942,13,315
0.9991273880004883,13,694
0.9988940358161926,13,197
0.9987164735794067,13,245
0.9983664155006409,13,828
0.9982717037200928,13,787
0.9980433583259583,13,532
0.997458279132843,13,747
0.9969627857208252,13,822
0.9968816041946411,13,660
0.9965349435806274,13,190
0.9963099956512451,13,269
0.9958145022392273,13,1047
0.9998359680175781,14,460
0.9945225119590759,14,1015
0.9898956418037415,14,614
0.9887896180152893,14,1004
0.988549530506134,14,806
0.9884446263313293,14,740
0.9872896075248718,14,292
0.9856762886047363,14,287
0.9851064085960388,14,848
0.9847411513328552,14,38
0.9837552309036255,14,444
0.9836486577987671,14,1016
0.9830161929130554,14,6
0.9825021028518677,14,700
0.9821943044662476,14,242
0.9814950227737427,14,832
0.980898916721344,14,1066
0.9805742502212524,14,766
0.9765883088111877,14,850
0.9763819575309753,14,684
0.9996719360351562,15,412
0.9994605183601379,15,1045
0.9985321164131165,15,252
0.9977000951766968,15,1047
0.9974108934402466,15,660
0.9973956942558289,15,501
0.9969931840896606,15,331
0.9965214133262634,15,422
0.9961628913879395,15,803
0.9959700703620911,15,738
0.9955777525901794,15,197
0.9949435591697693,15,718
0.994635820388794,15,692
0.9941132664680481,15,885
0.9937800765037537,15,326
0.9936650991439819,15,852
0.9932575225830078,15,787
0.9931696057319641,15,318
0.9930326342582703,15,823
0.9921448230743408,15,13
0.9981212019920349,16,709
0.9965670704841614,16,169
0.9955862164497375,16,296
0.9937936067581177,16,5
0.9937530159950256,16,44
0.9935044646263123,16,52
0.9925625324249268,16,533
0.9902169108390808,16,432
0.9895878434181213,16,19
0.9894677996635437,16,336
0.9889824390411377,16,349
0.9884920120239258,16,304
0.9877462387084961,16,273
0.986893892288208,16,36
0.9841306209564209,16,450
0.9837433695793152,16,51
0.9831278324127197,16,387
0.9825240969657898,16,41
0.9794614911079407,16,70
0.9787123203277588,16,24
0.9965822696685791,17,261
0.9921312928199768,17,450
0.991436243057251,17,169
0.9903843402862549,17,0
0.9900444149971008,17,743
0.9893139004707336,17,325
0.9884023666381836,17,296
0.9881588816642761,17,212
0.987764835357666,17,268
0.986640214920044,17,187
0.9864745140075684,17,385
0.9858352541923523,17,355
0.9853516221046448,17,304
0.9853482246398926,17,88
0.9834491014480591,17,216
0.9833290576934814,17,167
0.9831007719039917,17,5
0.9810883402824402,17,380
0.9802731871604919,17,446
0.9800432324409485,17,156
0.9997666478157043,18,94
0.9987350702285767,18,354
0.9960360527038574,18,310
0.9951938390731812,18,123
0.9951701760292053,18,264
0.9945326447486877,18,233
0.9942231774330139,18,83
0.9935450553894043,18,229
0.993487536907196,18,343
0.9923646450042725,18,231
0.9918437600135803,18,386
